COMPE,ShortName
335,BANCO DIGIO
336,BCO C6 S.A.
340,SUPERDIGITAL I.P. S.A.
341,ITAÚ UNIBANCO S.A.
342,CREDITAS SCD
343,FFA SCMEPP LTDA.
348,BCO XP S.A.
349,AL5 S.A. CFI
350,CREHNOR LARANJEIRAS
352,TORO CTVM S.A.
354,NECTON INVESTIMENTOS S.A CVM
355,ÓTIMO SCD S.A.
358,MIDWAY S.A. - SCFI
359,ZEMA CFI S/A
360,TRINUS CAPITAL DTVM
362,CIELO IP S.A.
363,SINGULARE CTVM S.A.
364,EFÍ S.A. - IP
365,SIMPAUL
366,BCO SOCIETE GENERALE BRASIL
367,VITREO DTVM S.A.
368,BCO CSF S.A.
370,BCO MIZUHO S.A.
371,WARREN CVMC LTDA
373,UP.P SEP S.A.
374,REALIZE CFI S.A.
376,BCO J.P. MORGAN S.A.
377,BMS SCD S.A.
378,BCO BRASILEIRO DE CRÉDITO S.A.
379,CECM COOPERFORTE
380,PICPAY
381,BCO MERCEDES-BENZ S.A.
382,FIDUCIA SCMEPP LTDA
383,EBANX IP LTDA.
384,GLOBAL SCM LTDA
385,CECM DOS TRAB.PORT. DA G.VITOR
386,NU FINANCEIRA S.A. CFI
387,BCO TOYOTA DO BRASIL S.A.
389,BCO MERCANTIL DO BRASIL S.A.
390,BCO GM S.A.
391,CCR DE IBIAM
393,BCO VOLKSWAGEN S.A
394,BCO BRADESCO FINANC. S.A.
395,F D GOLD DTVM LTDA
396,HUB IP S.A.
397,LISTO SCD S.A.
398,IDEAL CTVM S.A.
399,KIRTON BANK
400,COOP CREDITAG
401,IUGU IP S.A.
402,COBUCCIO S.A. SCFI
403,CORA SCD S.A.
404,SUMUP SCD S.A.
406,ACCREDITO SCD S.A.
407,ÍNDIGO INVESTIMENTOS DTVM LTDA.
408,BONUSPAGO SCD S.A.
410,PLANNER SOCIEDADE DE CRÉDITO DIRETO
411,VIA CERTA FINANCIADORA S.A. - CFI
412,SOCIAL BANK S/A
413,BCO BV S.A.
414,LEND SCD S.A.
416,LAMARA SCD S.A.
418,ZIPDIN SCD S.A.
419,NUMBRS SCD S.A.
421,CC LAR CREDI
422,BCO SAFRA S.A.
423,COLUNA S.A. DTVM
425,SOCINAL S.A. CFI
426,NEON FINANCEIRA - CFI S.A.
427,CRED-UFES
428,CREDSYSTEM SCD S.A.
429,CREDIARE CFI S.A.
430,CCR SEARA
433,BR-CAPITAL DTVM S.A.
435,DELCRED SCD S.A.
438,TRUSTEE DTVM LTDA.
439,ID CTVM
440,CREDIBRF COOP
442,MAGNETIS - DTVM
443,CREDIHOME SCD
444,TRINUS SCD S.A.
445,PLANTAE CFI
447,MIRAE ASSET CCTVM LTDA
448,HEMERA DTVM LTDA.
449,DM
450,FITBANK IP
451,J17 - SCD S/A
452,CREDIFIT SCD S.A.
454,MÉRITO DTVM LTDA.
455,FÊNIX DTVM LTDA.
456,BCO MUFG BRASIL S.A.
457,UY3 SCD S/A
458,HEDGE INVESTMENTS DTVM LTDA.
459,CCM SERV. PÚBLICOS SP
460,UNAVANTI SCD S/A
461,ASAAS IP S.A.
462,STARK SCD S.A.
463,AZUMI DTVM
464,BCO SUMITOMO MITSUI BRASIL S.A.
465,CAPITAL CONSIG SCD S.A.
467,MASTER S/A CCTVM
468,PORTOSEG S.A. CFI
469,LIGA INVEST DTVM LTDA.
470,CDC SCD S.A.
471,CECM SERV PUBL PINHÃO
473,BCO CAIXA GERAL BRASIL S.A.
475,BCO YAMAHA MOTOR S.A.
477,CITIBANK N.A.
478,GAZINCRED S.A. SCFI
